seed,mean_encoded,injected_linear_rgb_sigma,gray,domain,component,measured,reference,passed
6113,0.117647059,0.0320000015,false,encoded,y,0.155743524,0.193211764,false
6113,0.117647059,0.0320000015,false,encoded,cb,0.140364617,0.172923192,false
6113,0.117647059,0.0320000015,false,encoded,cr,0.154481068,0.196010485,false
6113,0.117647059,0.064000003,true,linear,y,0.0637886003,0.06397935,true
6113,0.117647059,0.064000003,true,linear,cb,7.84246449e-20,2.86378655e-18,true
6113,0.117647059,0.064000003,true,linear,cr,9.896774e-20,3.61394672e-18,true
6113,0.117647059,0.064000003,true,encoded,y,0.313509673,0.519794762,false
6113,0.117647059,0.064000003,true,encoded,cb,8.37446906e-19,2.34700951e-17,true
6113,0.117647059,0.064000003,true,encoded,cr,1.0568135e-18,2.96180125e-17,true
6113,0.117647059,0.064000003,false,linear,y,0.0483073182,0.0480209291,true
6113,0.117647059,0.064000003,false,linear,cb,0.0428511351,0.0429645739,true
6113,0.117647059,0.064000003,false,linear,cr,0.0492051058,0.048552081,true
6113,0.117647059,0.064000003,false,encoded,y,0.313719064,0.389897764,false
6113,0.117647059,0.064000003,false,encoded,cb,0.281274796,0.348977327,false
6113,0.117647059,0.064000003,false,encoded,cr,0.311548442,0.395612061,false
6113,0.250980407,0.00100000005,true,linear,y,0.000996694085,0.000999677344,true
6113,0.250980407,0.00100000005,true,linear,cb,1.02216602e-19,2.75602994e-18,true
6113,0.250980407,0.00100000005,true,linear,cr,1.28991928e-19,3.47796319e-18,true
6113,0.250980407,0.00100000005,true,encoded,y,0.00249679596,0.00248648971,true
6113,0.250980407,0.00100000005,true,encoded,cb,1.77673626e-19,1.06474746e-17,true
6113,0.250980407,0.00100000005,true,encoded,cr,2.24214672e-19,1.34365482e-17,true
6113,0.250980407,0.00100000005,false,linear,y,0.000754801615,0.000750327017,true
6113,0.250980407,0.00100000005,false,linear,cb,0.000669548463,0.000671321468,true
6113,0.250980407,0.00100000005,false,linear,cr,0.000768828206,0.000758626265,true
6113,0.250980407,0.00100000005,false,encoded,y,0.00187932455,0.00186628499,true
6113,0.250980407,0.00100000005,false,encoded,cb,0.00166470767,0.00166973879,true
6113,0.250980407,0.00100000005,false,encoded,cr,0.00191343739,0.00188704336,true
6113,0.250980407,0.00800000038,true,linear,y,0.00797357038,0.00799741875,true
6113,0.250980407,0.00800000038,true,linear,cb,7.37229503e-20,2.735867e-18,true
6113,0.250980407,0.00800000038,true,linear,cr,9.30344511e-20,3.45251891e-18,true
6113,0.250980407,0.00800000038,true,encoded,y,0.0199342445,0.0201710109,true
6113,0.250980407,0.00800000038,true,encoded,cb,2.17112293e-19,1.14499358e-17,true
6113,0.250980407,0.00800000038,true,encoded,cr,2.73984191e-19,1.44492108e-17,true
6113,0.250980407,0.00800000038,false,linear,y,0.00603841338,0.00600261614,true
6113,0.250980407,0.00800000038,false,linear,cb,0.00535639096,0.00537057174,true
6113,0.250980407,0.00800000038,false,linear,cr,0.00615063868,0.00606901012,true
6113,0.250980407,0.00800000038,false,encoded,y,0.0150494231,0.015138112,true
6113,0.250980407,0.00800000038,false,encoded,cb,0.0134679563,0.0135419471,true
6113,0.250980407,0.00800000038,false,encoded,cr,0.0152701791,0.0153148724,true
6113,0.250980407,0.0320000015,true,linear,y,0.0318943001,0.031989675,true
6113,0.250980407,0.0320000015,true,linear,cb,6.08752457e-20,3.11728763e-18,true
6113,0.250980407,0.0320000015,true,linear,cr,7.68213298e-20,3.93385138e-18,true
6113,0.250980407,0.0320000015,true,encoded,y,0.0801433921,0.126711473,false
6113,0.250980407,0.0320000015,true,encoded,cb,3.63647958e-19,1.29415335e-17,true
6113,0.250980407,0.0320000015,true,encoded,cr,4.58904398e-19,1.63315281e-17,true
6113,0.250980407,0.0320000015,false,linear,y,0.0241536461,0.0240104645,true
6113,0.250980407,0.0320000015,false,linear,cb,0.0214255694,0.021482287,true
6113,0.250980407,0.0320000015,false,linear,cr,0.0246025547,0.0242760405,true
6113,0.250980407,0.0320000015,false,encoded,y,0.0642828718,0.0949717015,false
6113,0.250980407,0.0320000015,false,encoded,cb,0.0586103871,0.0849037915,false
6113,0.250980407,0.0320000015,false,encoded,cr,0.0649066418,0.0966017395,false
6113,0.250980407,0.064000003,true,linear,y,0.0637886077,0.06397935,true
6113,0.250980407,0.064000003,true,linear,cb,1.10414524e-19,3.94462871e-18,true
6113,0.250980407,0.064000003,true,linear,cr,1.39337269e-19,4.97791171e-18,true
6113,0.250980407,0.064000003,true,encoded,y,0.160832226,0.367145419,false
6113,0.250980407,0.064000003,true,encoded,cb,4.47652984e-19,1.83502789e-17,true
6113,0.250980407,0.064000003,true,encoded,cr,5.64914262e-19,2.31570784e-17,true
6113,0.250980407,0.064000003,false,linear,y,0.0483073182,0.0480209291,true
6113,0.250980407,0.064000003,false,linear,cb,0.0428511389,0.0429645739,true
6113,0.250980407,0.064000003,false,linear,cr,0.0492051058,0.048552081,true
6113,0.250980407,0.064000003,false,encoded,y,0.155340463,0.275248289,false
6113,0.250980407,0.064000003,false,encoded,cb,0.141189143,0.246444553,false
6113,0.250980407,0.064000003,false,encoded,cr,0.150465474,0.279860437,false
6113,0.501960814,0.00100000005,true,linear,y,0.00099669362,0.000999677344,true
6113,0.501960814,0.00100000005,true,linear,cb,2.96338954e-19,1.10161201e-17,true
6113,0.501960814,0.00100000005,true,linear,cr,3.73964012e-19,1.39017578e-17,true
6113,0.501960814,0.00100000005,true,encoded,y,0.00107267627,0.00107474648,true
6113,0.501960814,0.00100000005,true,encoded,cb,3.88198963e-19,2.05767563e-17,true
6113,0.501960814,0.00100000005,true,encoded,cr,4.89886447e-19,2.59667744e-17,true
6113,0.501960814,0.00100000005,false,linear,y,0.00075478811,0.000750326959,true
6113,0.501960814,0.00100000005,false,linear,cb,0.000669550907,0.000671321468,true
6113,0.501960814,0.00100000005,false,linear,cr,0.000768826518,0.000758626265,true
6113,0.501960814,0.00100000005,false,encoded,y,0.000812314509,0.000806671858,true
6113,0.501960814,0.00100000005,false,encoded,cb,0.000718991098,0.000721729943,true
6113,0.501960814,0.00100000005,false,encoded,cr,0.000826843025,0.00081560621,true
6113,0.501960814,0.00800000038,true,linear,y,0.00797358155,0.00799741875,true
6113,0.501960814,0.00800000038,true,linear,cb,3.22977943e-19,1.09639854e-17,true
6113,0.501960814,0.00800000038,true,linear,cr,4.07580994e-19,1.38359672e-17,true
6113,0.501960814,0.00800000038,true,encoded,y,0.00859570224,0.00860415678,true
6113,0.501960814,0.00800000038,true,encoded,cb,2.94850235e-19,2.09721354e-17,true
6113,0.501960814,0.00800000038,true,encoded,cr,3.7208533e-19,2.64657215e-17,true
6113,0.501960814,0.00800000038,false,linear,y,0.0060384036,0.00600261614,true
6113,0.501960814,0.00800000038,false,linear,cb,0.00535639329,0.00537057174,true
6113,0.501960814,0.00800000038,false,linear,cr,0.00615063915,0.00606901012,true
6113,0.501960814,0.00800000038,false,encoded,y,0.00647079013,0.00645792065,true
6113,0.501960814,0.00800000038,false,encoded,cb,0.0057601002,0.00577773852,true
6113,0.501960814,0.00800000038,false,encoded,cr,0.0066005867,0.00653017871,true
6113,0.501960814,0.0320000015,true,linear,y,0.0318942815,0.031989675,true
6113,0.501960814,0.0320000015,true,linear,cb,3.12353119e-19,1.1109967e-17,true
6113,0.501960814,0.0320000015,true,linear,cr,3.94173043e-19,1.40201886e-17,true
6113,0.501960814,0.0320000015,true,encoded,y,0.0343832299,0.0348293334,true
6113,0.501960814,0.0320000015,true,encoded,cb,5.08926853e-19,2.22602707e-17,true
6113,0.501960814,0.0320000015,true,encoded,cr,6.42238692e-19,2.80912819e-17,true
6113,0.501960814,0.0320000015,false,linear,y,0.0241536219,0.0240104645,true
6113,0.501960814,0.0320000015,false,linear,cb,0.0214255638,0.021482287,true
6113,0.501960814,0.0320000015,false,linear,cr,0.0246025417,0.0242760405,true
6113,0.501960814,0.0320000015,false,encoded,y,0.0260406882,0.0261391662,true
6113,0.501960814,0.0320000015,false,encoded,cb,0.0232732035,0.0233834051,true
6113,0.501960814,0.0320000015,false,encoded,cr,0.0263228957,0.0264435578,true
6113,0.501960814,0.064000003,true,linear,y,0.0637885928,0.06397935,true
6113,0.501960814,0.064000003,true,linear,cb,2.93193082e-19,1.17422598e-17,true
6113,0.501960814,0.064000003,true,linear,cr,3.69994114e-19,1.48181085e-17,true
6113,0.501960814,0.064000003,true,encoded,y,0.0687590986,0.0743606165,true
6113,0.501960814,0.064000003,true,encoded,cb,7.25698166e-19,2.36803975e-17,true
6113,0.501960814,0.064000003,true,encoded,cr,9.15792542e-19,2.98834051e-17,true
6113,0.501960814,0.064000003,false,linear,y,0.0483072884,0.0480209291,true
