candidate,brightness,detail,raw,scene,step,baseline_count,baseline_mse_y,baseline_mse_cb,baseline_mse_cr,baseline_sigma_y,baseline_sigma_cb,baseline_sigma_cr,candidate_count,candidate_mse_y,candidate_mse_cb,candidate_mse_cr,candidate_sigma_y,candidate_sigma_cb,candidate_sigma_cr
baseline,30.0,50.0,False,"Texture(4, 0)",5.0,14080,16.848524869129296,2.997176852073742e-12,4.773034064099147e-12,4.094861394125684,1.7161939050768157e-06,2.1657455828669774e-06,14080,16.848524869129296,2.997176852073742e-12,4.773034064099147e-12,4.094861394125684,1.7161939050768157e-06,2.1657455828669774e-06
baseline,30.0,100.0,False,"Texture(4, 0)",5.0,14080,16.09900441116501,3.0343040417179717e-12,4.832159484326914e-12,4.002901558124708,1.7419198788817057e-06,2.1982103958278067e-06,14080,16.09900441116501,3.0343040417179717e-12,4.832159484326914e-12,4.002901558124708,1.7419198788817057e-06,2.1982103958278067e-06
baseline,30.0,0.0,True,"Texture(4, 0)",1.0,14080,16.87903198449257,2.8419176945728554e-12,4.525782305497309e-12,4.098560224160241,1.5634122510455918e-06,1.9729432477796943e-06,14080,16.87903198449257,2.8419176945728554e-12,4.525782305497309e-12,4.098560224160241,1.5634122510455918e-06,1.9729432477796943e-06
baseline,30.0,50.0,True,"Texture(4, 0)",1.0,14080,16.848520743181833,2.6799081353172636e-12,4.267780464697829e-12,4.094860888759537,1.624601193064622e-06,2.05016044363735e-06,14080,16.848520743181833,2.6799081353172636e-12,4.267780464697829e-12,4.094860888759537,1.624601193064622e-06,2.05016044363735e-06
baseline,30.0,100.0,True,"Texture(4, 0)",1.0,14080,16.099003572317706,2.470645786686296e-12,3.934528084993283e-12,4.002901430074795,1.5238559722012395e-06,1.9230253242115118e-06,14080,16.099003572317706,2.470645786686296e-12,3.934528084993283e-12,4.002901430074795,1.5238559722012395e-06,1.9230253242115118e-06
baseline,30.0,0.0,True,"Texture(4, 0)",5.0,14080,16.87903050368407,2.737286520380427e-12,4.359156115840933e-12,4.098560048672995,1.5485670240441706e-06,1.9542093595460275e-06,14080,16.87903050368407,2.737286520380427e-12,4.359156115840933e-12,4.098560048672995,1.5485670240441706e-06,1.9542093595460275e-06
baseline,30.0,50.0,True,"Texture(4, 0)",5.0,14080,16.84852075413694,2.639405745428664e-12,4.203280004378964e-12,4.094860888603782,1.6185698079389001e-06,2.042549155859218e-06,14080,16.84852075413694,2.639405745428664e-12,4.203280004378964e-12,4.094860888603782,1.6185698079389001e-06,2.042549155859218e-06
baseline,30.0,100.0,True,"Texture(4, 0)",5.0,14080,16.099003315684225,2.4706457866159796e-12,3.9345280848812955e-12,4.002901399301968,1.5322895522884703e-06,1.9336680544808836e-06,14080,16.099003315684225,2.4706457866159796e-12,3.9345280848812955e-12,4.002901399301968,1.5322895522884703e-06,1.9336680544808836e-06
baseline,128.0,0.0,False,"Texture(4, 0)",1.0,14080,16.43457271534182,1.2960764771670185e-11,2.0640147313678983e-11,4.053019385553073,3.5665396571370692e-06,4.500783673519872e-06,14080,16.43457271534182,1.2960764771670185e-11,2.0640147313678983e-11,4.053019385553073,3.5665396571370692e-06,4.500783673519872e-06
baseline,128.0,50.0,False,"Texture(4, 0)",1.0,14080,15.662912860911165,1.1664688301423097e-11,1.8576132593330384e-11,3.9569340970728106,3.4088860168449075e-06,4.301833150460822e-06,14080,15.662912860911165,1.1664688301423097e-11,1.8576132593330384e-11,3.9569340970728106,3.4088860168449075e-06,4.301833150460822e-06
