test,seed,clipped,chroma,brightness,sigma,sigma_y,sigma_c,ratio,detail,step,variant,unsupported,selected,strength,passed,black_fraction,clean_error,bias,relative_loss,noise_ratio,y_relative_loss,y_noise_ratio,c_relative_loss,c_noise_ratio
separate,24533,False,False,0.09999939054250717,0.0029999420512467623,,,,0.0,1.0,0,,93,,True,0.0,0.0,0.0,0.042008047939197095,0.15615263089447423,,,,
separate,24533,False,False,0.09903176128864288,0.0029999904800206423,,,,0.0,1.0,1,,93,,True,0.0,0.0,0.0,0.049191970615619134,0.16620701110109082,,,,
separate,24533,False,False,0.09903156012296677,0.003000017488375306,,,,0.0,1.0,2,,93,,True,0.0,0.0,0.0,0.05925486358308271,0.17401387959772713,,,,
separate,24533,False,False,0.09999939054250717,0.0029999420512467623,,,,25.0,1.0,0,,93,,True,0.0,0.0,0.0,0.04200426162481946,0.15626680823192066,,,,
separate,24533,False,False,0.09903176128864288,0.0029999904800206423,,,,25.0,1.0,1,,93,,True,0.0,0.0,0.0,0.0491855070661501,0.16630217158648866,,,,
separate,24533,False,False,0.09903156012296677,0.003000017488375306,,,,25.0,1.0,2,,93,,True,0.0,0.0,0.0,0.05923196771149336,0.17405951695302965,,,,
separate,24533,False,False,0.09999939054250717,0.0029999420512467623,,,,50.0,1.0,0,,93,,True,0.0,0.0,0.0,0.04199932571847589,0.15653690434805015,,,,
separate,24533,False,False,0.09903176128864288,0.0029999904800206423,,,,50.0,1.0,1,,93,,True,0.0,0.0,0.0,0.049173295760946985,0.16652751046286574,,,,
separate,24533,False,False,0.09903156012296677,0.003000017488375306,,,,50.0,1.0,2,,93,,True,0.0,0.0,0.0,0.05918348615174041,0.17416821053720705,,,,
separate,24533,False,False,0.09999939054250717,0.0029999420512467623,,,,75.0,1.0,0,,94,,True,0.0,0.0,0.0,0.041033776527877194,0.1528633214632454,,,,
separate,24533,False,False,0.09903176128864288,0.0029999904800206423,,,,75.0,1.0,1,,94,,True,0.0,0.0,0.0,0.048162652770819006,0.16298840354187308,,,,
separate,24533,False,False,0.09903156012296677,0.003000017488375306,,,,75.0,1.0,2,,94,,True,0.0,0.0,0.0,0.05858184903497225,0.17263343152413935,,,,
separate,24533,False,False,0.09999939054250717,0.0029999420512467623,,,,100.0,1.0,0,,95,,True,0.0,0.0,0.0,0.040111162674402435,0.1568479098627689,,,,
separate,24533,False,False,0.09903176128864288,0.0029999904800206423,,,,100.0,1.0,1,,95,,True,0.0,0.0,0.0,0.046955477207132355,0.16584902582386127,,,,
separate,24533,False,False,0.09903156012296677,0.003000017488375306,,,,100.0,1.0,2,,95,,True,0.0,0.0,0.0,0.05684313937789164,0.17401101973236446,,,,
separate,24533,False,False,0.0999990925192833,0.01199991162866354,,,,0.0,1.0,0,,100,,True,0.0,0.0,0.0,0.023233282174498587,0.14000972264142483,,,,
separate,24533,False,False,0.09903176128864288,0.011999971233308315,,,,0.0,1.0,1,,100,,True,0.0,0.0,0.0,0.030004869213045213,0.16064080016141968,,,,
separate,24533,False,False,0.0990317240357399,0.011999905109405518,,,,0.0,1.0,2,,100,,True,0.0,0.0,0.0,0.0885286885799478,0.2770008346089544,,,,
separate,24533,False,False,0.0999990925192833,0.01199991162866354,,,,25.0,1.0,0,,100,,True,0.0,0.0,0.0,0.024017936883166703,0.14252562189343884,,,,
separate,24533,False,False,0.09903176128864288,0.011999971233308315,,,,25.0,1.0,1,,100,,True,0.0,0.0,0.0,0.030662768827625187,0.16321574845350412,,,,
separate,24533,False,False,0.0990317240357399,0.011999905109405518,,,,25.0,1.0,2,,100,,True,0.0,0.0,0.0,0.09128987983209261,0.28240192647958173,,,,
separate,24533,False,False,0.0999990925192833,0.01199991162866354,,,,50.0,1.0,0,,100,,True,0.0,0.0,0.0,0.0260964540971788,0.14936184319271945,,,,
separate,24533,False,False,0.09903176128864288,0.011999971233308315,,,,50.0,1.0,1,,100,,True,0.0,0.0,0.0,0.03251951939617069,0.1698884419059819,,,,
separate,24533,False,False,0.0990317240357399,0.011999905109405518,,,,50.0,1.0,2,,100,,True,0.0,0.0,0.0,0.09629326549924969,0.29174559343339584,,,,
separate,24533,False,False,0.0999990925192833,0.01199991162866354,,,,75.0,1.0,0,,100,,True,0.0,0.0,0.0,0.033641756188092786,0.17316292189971258,,,,
separate,24533,False,False,0.09903176128864288,0.011999971233308315,,,,75.0,1.0,1,,100,,True,0.0,0.0,0.0,0.039426743661363534,0.19162496322104716,,,,
separate,24533,False,False,0.0990317240357399,0.011999905109405518,,,,75.0,1.0,2,,100,,True,0.0,0.0,0.0,0.11066432023593131,0.3173785529427384,,,,
separate,24533,False,False,0.0999990925192833,0.01199991162866354,,,,100.0,1.0,0,,100,,True,0.0,0.0,0.0,0.17306795936347688,0.4219586641525191,,,,
separate,24533,False,False,0.09903176128864288,0.011999971233308315,,,,100.0,1.0,1,,100,,True,0.0,0.0,0.0,0.1678216752320565,0.41335787831768184,,,,
separate,24533,False,False,0.0990317240357399,0.011999905109405518,,,,100.0,1.0,2,,100,,True,0.0,0.0,0.0,0.24964788262837828,0.49391569364236215,,,,
separate,24533,False,False,0.10000026971101761,0.023999856784939766,,,,0.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.0990314707159996,0.024000011384487152,,,,0.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903240948915482,0.02399967983365059,,,,0.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.10000026971101761,0.023999856784939766,,,,25.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.0990314707159996,0.024000011384487152,,,,25.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903240948915482,0.02399967983365059,,,,25.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.10000026971101761,0.023999856784939766,,,,50.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.0990314707159996,0.024000011384487152,,,,50.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903240948915482,0.02399967983365059,,,,50.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.10000026971101761,0.023999856784939766,,,,75.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.0990314707159996,0.024000011384487152,,,,75.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903240948915482,0.02399967983365059,,,,75.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.10000026971101761,0.023999856784939766,,,,100.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.0990314707159996,0.024000011384487152,,,,100.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903240948915482,0.02399967983365059,,,,100.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09999916702508926,0.04800020158290863,,,,0.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.0990314930677414,0.04799995571374893,,,,0.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903246909379959,0.04799944534897804,,,,0.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09999916702508926,0.04800020158290863,,,,25.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.0990314930677414,0.04799995571374893,,,,25.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903246909379959,0.04799944534897804,,,,25.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09999916702508926,0.04800020158290863,,,,50.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.0990314930677414,0.04799995571374893,,,,50.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903246909379959,0.04799944534897804,,,,50.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09999916702508926,0.04800020158290863,,,,75.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.0990314930677414,0.04799995571374893,,,,75.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903246909379959,0.04799944534897804,,,,75.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09999916702508926,0.04800020158290863,,,,100.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.0990314930677414,0.04799995571374893,,,,100.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903246909379959,0.04799944534897804,,,,100.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09999983757734299,0.08000045269727707,,,,0.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903255105018616,0.08000022172927856,,,,0.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903270751237869,0.07999996095895767,,,,0.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09999983757734299,0.08000045269727707,,,,25.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903255105018616,0.08000022172927856,,,,25.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903270751237869,0.07999996095895767,,,,25.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09999983757734299,0.08000045269727707,,,,50.0,1.0,0,,100,,True,0.0,0.0,0.0,0.6964995419998545,0.8525061862284449,,,,
separate,24533,False,False,0.09903255105018616,0.08000022172927856,,,,50.0,1.0,1,,100,,True,0.0,0.0,0.0,0.6940877404843828,0.8477998009151675,,,,
separate,24533,False,False,0.09903270751237869,0.07999996095895767,,,,50.0,1.0,2,,100,,True,0.0,0.0,0.0,0.6736815266056941,0.8201662025135618,,,,
separate,24533,False,False,0.09999983757734299,0.08000045269727707,,,,75.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903255105018616,0.08000022172927856,,,,75.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903270751237869,0.07999996095895767,,,,75.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09999983757734299,0.08000045269727707,,,,100.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903255105018616,0.08000022172927856,,,,100.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.09903270751237869,0.07999996095895767,,,,100.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.20000028610229492,0.0030001893173903227,,,,0.0,1.0,0,,80,,True,0.0,0.0,0.0,0.12348623082510628,0.2552200950337477,,,,
separate,24533,False,False,0.19840754568576813,0.0029999245889484882,,,,0.0,1.0,1,,80,,True,0.0,0.0,0.0,0.13112876306219154,0.2594804820190833,,,,
separate,24533,False,False,0.1984068751335144,0.002999949734658003,,,,0.0,1.0,2,,80,,True,0.0,0.0,0.0,0.12400928091153698,0.2392007982740335,,,,
separate,24533,False,False,0.20000028610229492,0.0030001893173903227,,,,25.0,1.0,0,,80,,True,0.0,0.0,0.0,0.12240991016151205,0.2553929423605555,,,,
separate,24533,False,False,0.19840754568576813,0.0029999245889484882,,,,25.0,1.0,1,,80,,True,0.0,0.0,0.0,0.130089150534871,0.2596368604735459,,,,
separate,24533,False,False,0.1984068751335144,0.002999949734658003,,,,25.0,1.0,2,,80,,True,0.0,0.0,0.0,0.12277241093143516,0.23934936157363873,,,,
separate,24533,False,False,0.20000028610229492,0.0030001893173903227,,,,50.0,1.0,0,,81,,True,0.0,0.0,0.0,0.1186081065276559,0.24758187480588628,,,,
separate,24533,False,False,0.19840754568576813,0.0029999245889484882,,,,50.0,1.0,1,,81,,True,0.0,0.0,0.0,0.12639537621695468,0.25207295131687124,,,,
separate,24533,False,False,0.1984068751335144,0.002999949734658003,,,,50.0,1.0,2,,81,,True,0.0,0.0,0.0,0.11957618206986448,0.23234878644918883,,,,
separate,24533,False,False,0.20000028610229492,0.0030001893173903227,,,,75.0,1.0,0,,85,,True,0.0,0.0,0.0,0.10781471720362634,0.2175501060702922,,,,
separate,24533,False,False,0.19840754568576813,0.0029999245889484882,,,,75.0,1.0,1,,85,,True,0.0,0.0,0.0,0.11590228451354867,0.22314876318918248,,,,
separate,24533,False,False,0.1984068751335144,0.002999949734658003,,,,75.0,1.0,2,,85,,True,0.0,0.0,0.0,0.11173262890067688,0.2067239757351804,,,,
separate,24533,False,False,0.20000028610229492,0.0030001893173903227,,,,100.0,1.0,0,,90,,True,0.0,0.0,0.0,0.07995284412817787,0.19444329385891373,,,,
separate,24533,False,False,0.19840754568576813,0.0029999245889484882,,,,100.0,1.0,1,,90,,True,0.0,0.0,0.0,0.08764716975481483,0.20029220112944987,,,,
separate,24533,False,False,0.1984068751335144,0.002999949734658003,,,,100.0,1.0,2,,90,,True,0.0,0.0,0.0,0.08432801618740547,0.18868436465865868,,,,
separate,24533,False,False,0.19999989867210388,0.011999843642115593,,,,0.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.1984071284532547,0.01200007926672697,,,,0.0,1.0,1,,100,,True,0.0,0.0,0.0,0.02053956987990962,0.11644314720261473,,,,
separate,24533,False,False,0.1984071582555771,0.011999879032373428,,,,0.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19999989867210388,0.011999843642115593,,,,25.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.1984071284532547,0.01200007926672697,,,,25.0,1.0,1,,100,,True,0.0,0.0,0.0,0.020621664123791836,0.11818241770220048,,,,
separate,24533,False,False,0.1984071582555771,0.011999879032373428,,,,25.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19999989867210388,0.011999843642115593,,,,50.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.1984071284532547,0.01200007926672697,,,,50.0,1.0,1,,100,,True,0.0,0.0,0.0,0.021235814667671944,0.12266092344216306,,,,
separate,24533,False,False,0.1984071582555771,0.011999879032373428,,,,50.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19999989867210388,0.011999843642115593,,,,75.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.1984071284532547,0.01200007926672697,,,,75.0,1.0,1,,100,,True,0.0,0.0,0.0,0.024086929612878834,0.13728704574277412,,,,
separate,24533,False,False,0.1984071582555771,0.011999879032373428,,,,75.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19999989867210388,0.011999843642115593,,,,100.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.1984071284532547,0.01200007926672697,,,,100.0,1.0,1,,100,,True,0.0,0.0,0.0,0.09001835961407248,0.30229982465322686,,,,
separate,24533,False,False,0.1984071582555771,0.011999879032373428,,,,100.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.20000004768371582,0.024000070989131927,,,,0.0,1.0,0,,100,,True,0.0,0.0,0.0,0.012754770699747623,0.1084108242960821,,,,
separate,24533,False,False,0.198406383395195,0.023999791592359543,,,,0.0,1.0,1,,100,,True,0.0,0.0,0.0,0.016912370607729644,0.12438503229464022,,,,
separate,24533,False,False,0.19840779900550842,0.024000324308872223,,,,0.0,1.0,2,,100,,True,0.0,0.0,0.0,0.051135792293652185,0.17980068620728304,,,,
separate,24533,False,False,0.20000004768371582,0.024000070989131927,,,,25.0,1.0,0,,100,,True,0.0,0.0,0.0,0.02167280948708915,0.14414542481822393,,,,
separate,24533,False,False,0.198406383395195,0.023999791592359543,,,,25.0,1.0,1,,100,,True,0.0,0.0,0.0,0.0256851986600745,0.1595093686362162,,,,
separate,24533,False,False,0.19840779900550842,0.024000324308872223,,,,25.0,1.0,2,,100,,True,0.0,0.0,0.0,0.06756383536748187,0.21655803207289687,,,,
separate,24533,False,False,0.20000004768371582,0.024000070989131927,,,,50.0,1.0,0,,100,,True,0.0,0.0,0.0,0.04862896689632408,0.21988294356097735,,,,
separate,24533,False,False,0.198406383395195,0.023999791592359543,,,,50.0,1.0,1,,100,,True,0.0,0.0,0.0,0.05139170332330346,0.23217665949782704,,,,
separate,24533,False,False,0.19840779900550842,0.024000324308872223,,,,50.0,1.0,2,,100,,True,0.0,0.0,0.0,0.10405754980292053,0.291673206265435,,,,
separate,24533,False,False,0.20000004768371582,0.024000070989131927,,,,75.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.198406383395195,0.023999791592359543,,,,75.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19840779900550842,0.024000324308872223,,,,75.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.20000004768371582,0.024000070989131927,,,,100.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.198406383395195,0.023999791592359543,,,,100.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19840779900550842,0.024000324308872223,,,,100.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.20000019669532776,0.04799981415271759,,,,0.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19840672612190247,0.048000235110521317,,,,0.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19840708374977112,0.04800054803490639,,,,0.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.20000019669532776,0.04799981415271759,,,,25.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19840672612190247,0.048000235110521317,,,,25.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19840708374977112,0.04800054803490639,,,,25.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.20000019669532776,0.04799981415271759,,,,50.0,1.0,0,,100,,True,0.0,0.0,0.0,0.40137405998778736,0.6396969063300758,,,,
separate,24533,False,False,0.19840672612190247,0.048000235110521317,,,,50.0,1.0,1,,100,,True,0.0,0.0,0.0,0.38187908327306963,0.6263714139191977,,,,
separate,24533,False,False,0.19840708374977112,0.04800054803490639,,,,50.0,1.0,2,,100,,True,0.0,0.0,0.0,0.4466288417162587,0.6559117230347304,,,,
separate,24533,False,False,0.20000019669532776,0.04799981415271759,,,,75.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19840672612190247,0.048000235110521317,,,,75.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19840708374977112,0.04800054803490639,,,,75.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.20000019669532776,0.04799981415271759,,,,100.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19840672612190247,0.048000235110521317,,,,100.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.19840708374977112,0.04800054803490639,,,,100.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.20000043511390686,0.0799999088048935,,,,0.0,1.0,0,True,,,,0.0,,,,,,,,
