variant,seed,brightness,correlation,color_texture,step,detail,before_edge_mse_ycc_y,before_edge_mse_ycc_cb,before_edge_mse_ycc_cr,before_flat_mse_ycc_y,before_flat_mse_ycc_cb,before_flat_mse_ycc_cr,before_flat_sigma_c,before_flat_sigma_y,before_texture_mse_ycc_y,before_texture_mse_ycc_cb,before_texture_mse_ycc_cr,after_edge_mse_ycc_y,after_edge_mse_ycc_cb,after_edge_mse_ycc_cr,after_flat_mse_ycc_y,after_flat_mse_ycc_cb,after_flat_mse_ycc_cr,after_flat_sigma_c,after_flat_sigma_y,after_texture_mse_ycc_y,after_texture_mse_ycc_cb,after_texture_mse_ycc_cr,clean_edge_mse_ycc_y,clean_edge_mse_ycc_cb,clean_edge_mse_ycc_cr,clean_flat_mse_ycc_y,clean_flat_mse_ycc_cb,clean_flat_mse_ycc_cr,clean_flat_sigma_c,clean_flat_sigma_y,clean_texture_mse_ycc_y,clean_texture_mse_ycc_cb,clean_texture_mse_ycc_cr
baseline,173,30.0,8,True,5.0,50.0,49.390110827800086,18.97209966631668,37.77858488733249,49.80455231643809,14.551774906525191,17.907389421659204,3.9249841124293963,7.053241590940244,47.92731224800945,16.022715562959565,15.403956099206546,2.8326053468324512,0.6565440963411229,3.0318225193825525,1.393035139155491,1.0463681345239666,0.9865966548330336,0.8178018051563821,0.7697662779683785,1.727661567506473,21.595795639555774,0.9945452275512294,1.372356620134009,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,0.004902853958081643,20.687478088126497,0.002491519860645722
baseline,173,30.0,8,True,5.0,100.0,49.390110827800086,18.97209966631668,37.77858488733249,49.80455231643809,14.551774906525191,17.907389421659204,3.9249841124293963,7.053241590940244,47.92731224800945,16.022715562959565,15.403956099206546,2.684443424957341,0.6633850109530971,3.0412407252291946,1.5501970501867783,1.0499586671935988,0.9911997193396417,0.819564261150785,0.9254698331521639,1.8920890612977825,21.606305217814874,0.9977755792602334,1.0134873311486619,1.1475677154328707e-12,1.8275130454284303e-12,0.0,0.0,0.0,0.0,0.0,0.004903386637717344,20.687478053952923,0.00249148383373887
baseline,173,30.0,24,False,1.0,0.0,49.390111268192214,19.92545689015087,27.83683735335038,49.80455293196358,14.78315318129888,16.92605459713195,3.262604848866492,7.053241631411566,47.92731275563998,25.277454307175706,17.345431039739946,2.2134558200646537,19.23472902833086,26.054482016723234,1.0989149421083078,13.833884968010059,16.18320645938379,3.1547934934869275,0.7551566318887711,16.285761167348838,22.82198518196883,15.398937381566213,1.3900915852184714,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,14.647599208992546,2.1736282603560405e-12,3.461524708556449e-12
baseline,173,30.0,24,False,1.0,50.0,49.390111268192214,19.92545689015087,27.83683735335038,49.80455293196358,14.78315318129888,16.92605459713195,3.262604848866492,7.053241631411566,47.92731275563998,25.277454307175706,17.345431039739946,2.1816436559271617,19.237778996059443,26.05799688991238,1.0988496193283592,13.837164818902657,16.185411513164027,3.155106239016096,0.7576561737493083,16.17501547780288,22.832584038776236,15.404720481601258,1.372356620134009,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,14.620743556471455,2.5786521600860436e-12,4.106529313088828e-12
baseline,173,30.0,24,False,1.0,100.0,49.390111268192214,19.92545689015087,27.83683735335038,49.80455293196358,14.78315318129888,16.92605459713195,3.262604848866492,7.053241631411566,47.92731275563998,25.277454307175706,17.345431039739946,2.0867470830882784,19.31594478131859,26.177957686040287,1.2784813575839191,13.926587765465325,16.244416781213808,3.163733423795609,0.9175148581026008,14.051335685058111,23.110494353934065,15.568594913242526,1.0134873311486619,1.1475677154328707e-12,1.8275130454284303e-12,0.0,0.0,0.0,0.0,0.0,13.960038665667982,2.5651513622024276e-12,4.085029157652077e-12
baseline,173,30.0,24,False,5.0,0.0,49.390111268192214,19.92545689015087,27.83683735335038,49.80455293196358,14.78315318129888,16.92605459713195,3.262604848866492,7.053241631411566,47.92731275563998,25.277454307175706,17.345431039739946,2.395635307843101,15.508892754297444,9.317808032583875,1.2958312274436108,6.80076187136173,6.410074122974476,2.1384442567134427,0.7688059452246393,16.659440356327117,8.11681786493731,4.478015820802785,1.3900915852184714,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,14.647599992765144,1.998117903972798e-12,3.1820227135241334e-12
baseline,173,30.0,24,False,5.0,50.0,49.390111268192214,19.92545689015087,27.83683735335038,49.80455293196358,14.78315318129888,16.92605459713195,3.262604848866492,7.053241631411566,47.92731275563998,25.277454307175706,17.345431039739946,2.363137100111608,15.511678671750426,9.318961648074218,1.295175866283623,6.801978328316282,6.410945787697182,2.1386234915952222,0.7712369570251452,16.548503382177064,8.120362196340238,4.4795197018785915,1.372356620134009,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,14.62074384590733,2.4841465834448704e-12,3.956028238638209e-12
baseline,173,30.0,24,False,5.0,100.0,49.390111268192214,19.92545689015087,27.83683735335038,49.80455293196358,14.78315318129888,16.92605459713195,3.262604848866492,7.053241631411566,47.92731275563998,25.277454307175706,17.345431039739946,2.2437391262805852,15.579973187241281,9.357659036491873,1.4573573738748173,6.834971250829313,6.434350455106841,2.143549611833914,0.9264731627364954,14.407686613157955,8.210004817043021,4.518363144221487,1.0134873311486619,1.1475677154328707e-12,1.8275130454284303e-12,0.0,0.0,0.0,0.0,0.0,13.960038560707142,2.538149768931633e-12,4.042028850754177e-12
baseline,173,30.0,24,True,1.0,0.0,49.390111268192214,19.92545689015087,27.83683735335038,49.80455293196358,14.78315318129888,16.92605459713195,3.262604848866492,7.053241631411566,47.927311759065276,25.277455476186333,17.34543147411593,2.2134558200646537,19.23472902833086,26.054482016723234,1.0989149421083078,13.833884968010059,16.18320645938379,3.1547934934869275,0.7551566318887711,1.3764461874329912,38.71705668207928,15.640853842537915,1.3900915852184714,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,0.004942436475264077,17.552318495819538,0.0025079046842075253
baseline,173,30.0,24,True,1.0,50.0,49.390111268192214,19.92545689015087,27.83683735335038,49.80455293196358,14.78315318129888,16.92605459713195,3.262604848866492,7.053241631411566,47.927311759065276,25.277455476186333,17.34543147411593,2.1816436559271617,19.237778996059443,26.05799688991238,1.0988496193283592,13.837164818902657,16.185411513164027,3.155106239016096,0.7576561737493083,1.3776232869295775,38.7223773587184,15.64277702252593,1.372356620134009,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,0.004942256538159344,17.55232064411378,0.0025078797152269707
baseline,173,30.0,24,True,1.0,100.0,49.390111268192214,19.92545689015087,27.83683735335038,49.80455293196358,14.78315318129888,16.92605459713195,3.262604848866492,7.053241631411566,47.927311759065276,25.277455476186333,17.34543147411593,2.0867470830882784,19.31594478131859,26.177957686040287,1.2784813575839191,13.926587765465325,16.244416781213808,3.163733423795609,0.9175148581026008,1.5734239208190843,38.86463494208488,15.69740097128093,1.0134873311486619,1.1475677154328707e-12,1.8275130454284303e-12,0.0,0.0,0.0,0.0,0.0,0.004942857116513009,17.5523155330761,0.0025078919719772135
baseline,173,30.0,24,True,5.0,0.0,49.390111268192214,19.92545689015087,27.83683735335038,49.80455293196358,14.78315318129888,16.92605459713195,3.262604848866492,7.053241631411566,47.927311759065276,25.277455476186333,17.34543147411593,2.395635307843101,15.508892754297444,9.317808032583875,1.2958312274436108,6.80076187136173,6.410074122974476,2.1384442567134427,0.7688059452246393,1.6682207781349008,28.62928778666393,4.613936560871039,1.3900915852184714,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,0.00490297326930011,20.687477359930746,0.002491499049331237
baseline,173,30.0,24,True,5.0,50.0,49.390111268192214,19.92545689015087,27.83683735335038,49.80455293196358,14.78315318129888,16.92605459713195,3.262604848866492,7.053241631411566,47.927311759065276,25.277455476186333,17.34543147411593,2.363137100111608,15.511678671750426,9.318961648074218,1.295175866283623,6.801978328316282,6.410945787697182,2.1386234915952222,0.7712369570251452,1.668761700774975,28.632059623630926,4.61431724400924,1.372356620134009,1.1340669188502135e-12,1.8060128920634732e-12,0.0,0.0,0.0,0.0,0.0,0.004902853958081643,20.687478088126497,0.002491519860645722
baseline,173,30.0,24,True,5.0,100.0,49.390111268192214,19.92545689015087,27.83683735335038,49.80455293196358,14.78315318129888,16.92605459713195,3.262604848866492,7.053241631411566,47.927311759065276,25.277455476186333,17.34543147411593,2.2437391262805852,15.579973187241281,9.357659036491873,1.4573573738748173,6.834971250829313,6.434350455106841,2.143549611833914,0.9264731627364954,1.844788417607706,28.70312795136921,4.625421433898308,1.0134873311486619,1.1475677154328707e-12,1.8275130454284303e-12,0.0,0.0,0.0,0.0,0.0,0.004903386637717344,20.687478053952923,0.00249148383373887
