candidate,brightness,c_ratio,correlation,height,raw,seed,step,y_ratio,baseline_count,baseline_mse_y,baseline_mse_cb,baseline_mse_cr,baseline_sigma_y,baseline_sigma_cb,baseline_sigma_cr,candidate_count,candidate_mse_y,candidate_mse_cb,candidate_mse_cr,candidate_sigma_y,candidate_sigma_cb,candidate_sigma_cr
baseline,30.0,1.0,24,432,False,619,1.0,1.0,107008,1.2702388793393962,22.63284257785849,19.991802959511087,0.8256084721767253,4.7524202883306454,4.427724867217571,107008,1.2702388793393962,22.63284257785849,19.991802959511087,0.8256084721767253,4.7524202883306454,4.427724867217571
baseline,30.0,1.0,24,256,False,619,5.0,1.0,53504,1.525605732221576,12.497816466482394,8.572596486178504,0.8568727990391604,3.4219751185933855,2.836878580901236,53504,1.525605732221576,12.497816466482394,8.572596486178504,0.8568727990391604,3.4219751185933855,2.836878580901236
baseline,30.0,1.0,24,432,False,619,5.0,1.0,107008,1.534335360374892,11.524373108972105,9.016118722598343,0.8478726502133684,3.39472483557692,2.899664482914642,107008,1.534335360374892,11.524373108972105,9.016118722598343,0.8478726502133684,3.39472483557692,2.899664482914642
baseline,30.0,1.0,24,256,True,619,1.0,1.0,53504,1.2648638080347832,22.585137870376663,18.96980607366015,0.8277424367994084,4.6964850733898835,4.325911076246745,53504,1.2648638080347832,22.585137870376663,18.96980607366015,0.8277424367994084,4.6964850733898835,4.325911076246745
baseline,30.0,1.0,24,432,True,619,1.0,1.0,107008,1.2702381181835756,22.632837969741228,19.991798957406708,0.8256083670170531,4.752419806576269,4.427724420963969,107008,1.2702381181835756,22.632837969741228,19.991798957406708,0.8256083670170531,4.752419806576269,4.427724420963969
baseline,30.0,1.0,24,256,True,619,5.0,1.0,53504,1.5256049391445061,12.497813723281023,8.572594615656108,0.8568727411061808,3.4219747293198535,2.8368782637883596,53504,1.5256049391445061,12.497813723281023,8.572594615656108,0.8568727411061808,3.4219747293198535,2.8368782637883596
baseline,30.0,1.0,24,432,True,619,5.0,1.0,107008,1.5343344636375633,11.524370350130178,9.016116696056919,0.8478725602733705,3.3947244290059406,2.8996641459225745,107008,1.5343344636375633,11.524370350130178,9.016116696056919,0.8478725602733705,3.3947244290059406,2.8996641459225745
baseline,128.0,1.0,8,256,False,619,1.0,1.0,53504,3.072756249504591,14.003155834373993,14.074600626805566,1.7374680473128232,3.716420420656642,3.750862143988928,53504,3.072756249504591,14.003155834373993,14.074600626805566,1.7374680473128232,3.716420420656642,3.750862143988928
baseline,128.0,1.0,8,432,False,619,1.0,1.0,107008,3.050041976625717,13.961435804240065,13.942053266577105,1.7299693337480315,3.725092837981526,3.733880571724697,107008,3.050041976625717,13.961435804240065,13.942053266577105,1.7299693337480315,3.725092837981526,3.733880571724697
baseline,128.0,1.0,8,256,False,619,5.0,1.0,53504,3.09025234310229,1.4655228392161541,1.5907539230418142,1.735316756881882,1.1070629028464005,1.2568732148391788,53504,3.09025234310229,1.4655228392161541,1.5907539230418142,1.735316756881882,1.1070629028464005,1.2568732148391788
baseline,128.0,1.0,8,432,False,619,5.0,1.0,107008,3.0703335403855703,1.3650723977671497,1.5657970951156672,1.7284536396018957,1.1064588424946176,1.250026503716672,107008,3.0703335403855703,1.3650723977671497,1.5657970951156672,1.7284536396018957,1.1064588424946176,1.250026503716672
baseline,128.0,1.0,8,256,True,619,1.0,1.0,53504,3.072763060246217,14.003159321946974,14.074604436699753,1.73746869298839,3.7164208707319384,3.7508626506295535,53504,3.072763060246217,14.003159321946974,14.074604436699753,1.73746869298839,3.7164208707319384,3.7508626506295535
baseline,128.0,1.0,8,432,True,619,1.0,1.0,107008,3.050048988028796,13.961439199089497,13.942057254275056,1.7299699968312865,3.7250932831091306,3.733881105368465,107008,3.050048988028796,13.961439199089497,13.942057254275056,1.7299699968312865,3.7250932831091306,3.733881105368465
baseline,128.0,1.0,8,256,True,619,5.0,1.0,53504,3.090260042280252,1.465523459073488,1.590754602531014,1.735317382667028,1.107063105528236,1.2568734836219981,53504,3.090260042280252,1.465523459073488,1.590754602531014,1.735317382667028,1.107063105528236,1.2568734836219981
baseline,128.0,1.0,8,432,True,619,5.0,1.0,107008,3.0703414574602585,1.3650730036029806,1.5657977303178492,1.7284542884753962,1.1064590620008152,1.2500267550391067,107008,3.0703414574602585,1.3650730036029806,1.5657977303178492,1.7284542884753962,1.1064590620008152,1.2500267550391067
baseline,128.0,1.0,24,256,False,619,1.0,1.0,53504,3.0658153590282033,23.240478222503135,19.56791283467376,1.7383235915013961,4.767353639701607,4.395326168915615,53504,3.0658153590282033,23.240478222503135,19.56791283467376,1.7383235915013961,4.767353639701607,4.395326168915615
baseline,128.0,1.0,24,432,False,619,1.0,1.0,107008,3.0428606886072735,23.31694661562743,20.616498245074105,1.7308430634124654,4.822652068829282,4.498643576558916,107008,3.0428606886072735,23.31694661562743,20.616498245074105,1.7308430634124654,4.822652068829282,4.498643576558916
baseline,128.0,1.0,24,256,False,619,5.0,1.0,53504,3.088683321177059,12.871789584960467,8.836357361298427,1.7393151871397776,3.51004085333845,2.9049235841847914,53504,3.088683321177059,12.871789584960467,8.836357361298427,1.7393151871397776,3.51004085333845,2.9049235841847914
baseline,128.0,1.0,24,432,False,619,5.0,1.0,107008,3.063952063538322,12.055083780058796,9.259829336759578,1.730806342950481,3.4685505908052328,2.9652235069757045,107008,3.063952063538322,12.055083780058796,9.259829336759578,1.730806342950481,3.4685505908052328,2.9652235069757045
baseline,128.0,1.0,24,256,True,619,1.0,1.0,53504,3.065821722775798,23.240483325449237,19.567917918458672,1.7383242300327202,4.7673541474727195,4.395326734729022,53504,3.065821722775798,23.240483325449237,19.567917918458672,1.7383242300327202,4.7673541474727195,4.395326734729022
baseline,128.0,1.0,24,432,True,619,1.0,1.0,107008,3.0428671649033694,23.31695140454108,20.616503773780583,1.7308436950052506,4.8226525693178734,4.498644174568792,107008,3.0428671649033694,23.31695140454108,20.616503773780583,1.7308436950052506,4.8226525693178734,4.498644174568792
