chroma,brightness,sigma,detail,step,selected,unsupported_reason,baseline_loss,best_loss,selected_loss,max_noise_ratio,max_clean_error,max_bias,feasible_candidates
True,0.11764705926179886,0.09600000083446503,50.0,1.0,,,0.9999999968163156,0.8634643868801923,,,,,33
True,0.11764705926179886,0.12800000607967377,50.0,1.0,,,0.999999997522506,0.9214732961447489,,,,,33
True,0.11764705926179886,0.0010000000474974513,50.0,2.0,67,,0.9999978199999107,0.21315893756409188,0.22300567914464361,0.3621254996724492,0.0,0.0,33
True,0.11764705926179886,0.0020000000949949026,50.0,2.0,87,,0.9999994829397697,0.08128702661190705,0.08491087101512142,0.1929131442504036,0.0,0.0,33
True,0.11764705926179886,0.004000000189989805,50.0,2.0,100,,0.9999998656165112,0.03544152676064113,0.03544152676064113,0.11510902529121142,0.0,0.0,25
True,0.11764705926179886,0.00800000037997961,50.0,2.0,100,,0.9999999535105802,0.05157674272325097,0.05157674272325097,0.229773751393647,0.0,0.0,25
True,0.11764705926179886,0.012000000104308128,50.0,2.0,100,,0.9999999728829234,0.10775041051322604,0.10775041051322604,0.3363441963994323,0.0,0.0,25
True,0.11764705926179886,0.01600000075995922,50.0,2.0,100,,0.9999999812048682,0.16685957325260045,0.16685957325260045,0.4264119489961882,0.0,0.0,25
True,0.11764705926179886,0.03200000151991844,50.0,2.0,100,,0.9999999913315583,0.39208170293328526,0.39208170293328526,0.6871479915125683,0.0,0.0,25
True,0.11764705926179886,0.06400000303983688,50.0,2.0,100,,0.9999999954512054,0.7259961686268886,0.7259961686268886,0.8919069710173391,0.0,0.0,25
True,0.11764705926179886,0.09600000083446503,50.0,2.0,,,0.9999999968163156,0.8626881454814082,,,,,33
True,0.11764705926179886,0.12800000607967377,50.0,2.0,,,0.999999997522506,0.922084652244578,,,,,33
True,0.11764705926179886,0.0010000000474974513,50.0,3.0,59,,0.9999978199999107,0.28022186957197637,0.2929301132342845,0.4360898298685529,0.0,0.0,33
True,0.11764705926179886,0.0020000000949949026,50.0,3.0,83,,0.9999994829397697,0.11102080486544856,0.11530088454565236,0.22099540488308478,0.0,0.0,33
True,0.11764705926179886,0.004000000189989805,50.0,3.0,100,,0.9999998656165112,0.04146234225999301,0.04146234225999301,0.12375900132134925,0.0,0.0,25
True,0.11764705926179886,0.00800000037997961,50.0,3.0,100,,0.9999999535105802,0.05323955371250533,0.05323955371250533,0.21728384175067814,0.0,0.0,25
True,0.11764705926179886,0.012000000104308128,50.0,3.0,100,,0.9999999728829234,0.10644996971163716,0.10644996971163716,0.3343101510477439,0.0,0.0,25
True,0.11764705926179886,0.01600000075995922,50.0,3.0,100,,0.9999999812048682,0.16489004215746894,0.16489004215746894,0.44488545592553497,0.0,0.0,25
True,0.11764705926179886,0.03200000151991844,50.0,3.0,100,,0.9999999913315583,0.3950549861680546,0.3950549861680546,0.6977290626023406,0.0,0.0,25
True,0.11764705926179886,0.06400000303983688,50.0,3.0,100,,0.9999999954512054,0.7276998769672041,0.7276998769672041,0.8976694441823755,0.0,0.0,25
True,0.11764705926179886,0.09600000083446503,50.0,3.0,,,0.9999999968163156,0.8638889695156233,,,,,33
True,0.11764705926179886,0.12800000607967377,50.0,3.0,,,0.999999997522506,0.922691918125498,,,,,33
True,0.11764705926179886,0.0010000000474974513,50.0,4.0,58,,0.9999978199999107,0.2898993206744252,0.30223261425769865,0.44578412459067795,0.0,0.0,33
True,0.11764705926179886,0.0020000000949949026,50.0,4.0,82,,0.9999994829397697,0.11852075700152466,0.12299325577631898,0.22938687680715256,0.0,0.0,33
