seed,mean_encoded,injected_linear_rgb_sigma,gray,domain,component,measured,reference,passed
6113,0.117647059,0.0320000015,true,encoded,y,0.25843972,0.257573307,true
6113,0.117647059,0.0320000015,true,encoded,cb,1.12333774e-17,1.18272319e-17,true
6113,0.117647059,0.0320000015,true,encoded,cr,1.41759269e-17,1.49253393e-17,true
6113,0.117647059,0.0320000015,false,linear,y,0.0240244959,0.0240104645,true
6113,0.117647059,0.0320000015,false,linear,cb,0.0214314479,0.021482287,true
6113,0.117647059,0.0320000015,false,linear,cr,0.0244309809,0.0242760405,true
6113,0.117647059,0.0320000015,false,encoded,y,0.193708181,0.193211764,true
6113,0.117647059,0.0320000015,false,encoded,cb,0.172938392,0.172923192,true
6113,0.117647059,0.0320000015,false,encoded,cr,0.197676882,0.196010485,true
6113,0.117647059,0.064000003,true,linear,y,0.0639530644,0.06397935,true
6113,0.117647059,0.064000003,true,linear,cb,2.82142394e-18,2.86378655e-18,true
6113,0.117647059,0.064000003,true,linear,cr,3.56048728e-18,3.61394672e-18,true
6113,0.117647059,0.064000003,true,encoded,y,0.520388365,0.519794762,true
6113,0.117647059,0.064000003,true,encoded,cb,2.30713709e-17,2.34700951e-17,true
6113,0.117647059,0.064000003,true,encoded,cr,2.91148451e-17,2.96180125e-17,true
6113,0.117647059,0.064000003,false,linear,y,0.0480489917,0.0480209291,true
6113,0.117647059,0.064000003,false,linear,cb,0.0428628959,0.0429645739,true
6113,0.117647059,0.064000003,false,linear,cr,0.0488619618,0.048552081,true
6113,0.117647059,0.064000003,false,encoded,y,0.390442401,0.389897764,true
6113,0.117647059,0.064000003,false,encoded,cb,0.348540902,0.348977327,true
6113,0.117647059,0.064000003,false,encoded,cr,0.398227066,0.395612061,true
6113,0.250980407,0.00100000005,true,linear,y,0.000999266631,0.000999677344,true
6113,0.250980407,0.00100000005,true,linear,cb,1.94867312e-18,2.75602994e-18,true
6113,0.250980407,0.00100000005,true,linear,cr,2.45912193e-18,3.47796319e-18,true
6113,0.250980407,0.00100000005,true,encoded,y,0.00249155844,0.00248648971,true
6113,0.250980407,0.00100000005,true,encoded,cb,7.60056312e-18,1.06474746e-17,true
6113,0.250980407,0.00100000005,true,encoded,cr,9.59150745e-18,1.34365482e-17,true
6113,0.250980407,0.00100000005,false,linear,y,0.000750765495,0.000750327017,true
6113,0.250980407,0.00100000005,false,linear,cb,0.000669732748,0.000671321468,true
6113,0.250980407,0.00100000005,false,linear,cr,0.000763468153,0.000758626265,true
6113,0.250980407,0.00100000005,false,encoded,y,0.00187083171,0.00186628499,true
6113,0.250980407,0.00100000005,false,encoded,cb,0.00166251825,0.00166973879,true
6113,0.250980407,0.00100000005,false,encoded,cr,0.00189826137,0.00188704336,true
6113,0.250980407,0.00800000038,true,linear,y,0.00799413305,0.00799741875,true
6113,0.250980407,0.00800000038,true,linear,cb,1.92779343e-18,2.735867e-18,true
6113,0.250980407,0.00800000038,true,linear,cr,2.43277292e-18,3.45251891e-18,true
6113,0.250980407,0.00800000038,true,encoded,y,0.0201678108,0.0201710109,true
6113,0.250980407,0.00800000038,true,encoded,cb,8.70055865e-18,1.14499358e-17,true
6113,0.250980407,0.00800000038,true,encoded,cr,1.09796431e-17,1.44492108e-17,true
6113,0.250980407,0.00800000038,false,linear,y,0.00600612396,0.00600261614,true
6113,0.250980407,0.00800000038,false,linear,cb,0.00535786198,0.00537057174,true
6113,0.250980407,0.00800000038,false,linear,cr,0.00610774523,0.00606901012,true
6113,0.250980407,0.00800000038,false,encoded,y,0.0151650915,0.015138112,true
6113,0.250980407,0.00800000038,false,encoded,cb,0.0134972315,0.0135419471,true
6113,0.250980407,0.00800000038,false,encoded,cr,0.0153918583,0.0153148724,true
6113,0.250980407,0.0320000015,true,linear,y,0.0319765322,0.031989675,true
6113,0.250980407,0.0320000015,true,linear,cb,2.45924394e-18,3.11728763e-18,true
6113,0.250980407,0.0320000015,true,linear,cr,3.10343525e-18,3.93385138e-18,true
6113,0.250980407,0.0320000015,true,encoded,y,0.126435995,0.126711473,true
6113,0.250980407,0.0320000015,true,encoded,cb,1.06689673e-17,1.29415335e-17,true
6113,0.250980407,0.0320000015,true,encoded,cr,1.34636698e-17,1.63315281e-17,true
6113,0.250980407,0.0320000015,false,linear,y,0.0240244959,0.0240104645,true
6113,0.250980407,0.0320000015,false,linear,cb,0.0214314479,0.021482287,true
6113,0.250980407,0.0320000015,false,linear,cr,0.0244309809,0.0242760405,true
6113,0.250980407,0.0320000015,false,encoded,y,0.0944734439,0.0949717015,true
6113,0.250980407,0.0320000015,false,encoded,cb,0.0851856694,0.0849037915,true
6113,0.250980407,0.0320000015,false,encoded,cr,0.0974536464,0.0966017395,true
6113,0.250980407,0.064000003,true,linear,y,0.0639530644,0.06397935,true
6113,0.250980407,0.064000003,true,linear,cb,3.42437533e-18,3.94462871e-18,true
6113,0.250980407,0.064000003,true,linear,cr,4.3213797e-18,4.97791171e-18,true
6113,0.250980407,0.064000003,true,encoded,y,0.366847336,0.367145419,true
6113,0.250980407,0.064000003,true,encoded,cb,1.66991354e-17,1.83502789e-17,true
6113,0.250980407,0.064000003,true,encoded,cr,2.10734237e-17,2.31570784e-17,true
6113,0.250980407,0.064000003,false,linear,y,0.0480489917,0.0480209291,true
6113,0.250980407,0.064000003,false,linear,cb,0.0428628959,0.0429645739,true
6113,0.250980407,0.064000003,false,linear,cr,0.0488619618,0.048552081,true
6113,0.250980407,0.064000003,false,encoded,y,0.275416046,0.275248289,true
6113,0.250980407,0.064000003,false,encoded,cb,0.246608466,0.246444553,true
6113,0.250980407,0.064000003,false,encoded,cr,0.282331109,0.279860437,true
6113,0.501960814,0.00100000005,true,linear,y,0.000999266747,0.000999677344,true
6113,0.501960814,0.00100000005,true,linear,cb,7.7878699e-18,1.10161201e-17,true
6113,0.501960814,0.00100000005,true,linear,cr,9.82787844e-18,1.39017578e-17,true
6113,0.501960814,0.00100000005,true,encoded,y,0.00107469258,0.00107474648,true
6113,0.501960814,0.00100000005,true,encoded,cb,1.46827867e-17,2.05767563e-17,true
6113,0.501960814,0.00100000005,true,encoded,cr,1.8528897e-17,2.59667744e-17,true
6113,0.501960814,0.00100000005,false,linear,y,0.000750765495,0.000750326959,true
6113,0.501960814,0.00100000005,false,linear,cb,0.000669732748,0.000671321468,true
6113,0.501960814,0.00100000005,false,linear,cr,0.000763468095,0.000758626265,true
6113,0.501960814,0.00100000005,false,encoded,y,0.000807172852,0.000806671858,true
6113,0.501960814,0.00100000005,false,encoded,cb,0.000719744829,0.000721729943,true
6113,0.501960814,0.00100000005,false,encoded,cr,0.000820552581,0.00081560621,true
6113,0.501960814,0.00800000038,true,linear,y,0.00799413305,0.00799741875,true
6113,0.501960814,0.00800000038,true,linear,cb,7.68181211e-18,1.09639854e-17,true
6113,0.501960814,0.00800000038,true,linear,cr,9.69403896e-18,1.38359672e-17,true
6113,0.501960814,0.00800000038,true,encoded,y,0.00860394444,0.00860415678,true
